CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
CreditCard{bin='441111', sold=true, persisted=true}
